"","route","region","nyears","matssname"
"1",1,2,29,"bbs_rtrg_1_2"
"2",1,14,30,"bbs_rtrg_1_14"
"3",1,17,28,"bbs_rtrg_1_17"
"4",1,21,30,"bbs_rtrg_1_21"
"5",1,25,26,"bbs_rtrg_1_25"
"6",1,27,26,"bbs_rtrg_1_27"
"7",1,33,25,"bbs_rtrg_1_33"
"8",1,34,28,"bbs_rtrg_1_34"
"9",1,36,28,"bbs_rtrg_1_36"
"10",1,38,25,"bbs_rtrg_1_38"
"11",1,44,26,"bbs_rtrg_1_44"
"12",1,45,27,"bbs_rtrg_1_45"
"13",1,46,28,"bbs_rtrg_1_46"
"14",1,47,28,"bbs_rtrg_1_47"
"15",1,50,24,"bbs_rtrg_1_50"
"16",1,52,28,"bbs_rtrg_1_52"
"17",1,54,28,"bbs_rtrg_1_54"
"18",1,58,31,"bbs_rtrg_1_58"
"19",1,59,27,"bbs_rtrg_1_59"
"20",1,64,30,"bbs_rtrg_1_64"
"21",1,67,24,"bbs_rtrg_1_67"
"22",1,69,25,"bbs_rtrg_1_69"
"23",1,76,31,"bbs_rtrg_1_76"
"24",1,81,28,"bbs_rtrg_1_81"
"25",1,82,28,"bbs_rtrg_1_82"
"26",1,83,29,"bbs_rtrg_1_83"
"27",1,89,30,"bbs_rtrg_1_89"
"28",1,90,24,"bbs_rtrg_1_90"
"29",1,91,27,"bbs_rtrg_1_91"
"30",1,92,27,"bbs_rtrg_1_92"
"31",2,3,24,"bbs_rtrg_2_3"
"32",2,4,28,"bbs_rtrg_2_4"
"33",2,7,25,"bbs_rtrg_2_7"
"34",2,17,27,"bbs_rtrg_2_17"
"35",2,21,26,"bbs_rtrg_2_21"
"36",2,25,24,"bbs_rtrg_2_25"
"37",2,33,28,"bbs_rtrg_2_33"
"38",2,34,31,"bbs_rtrg_2_34"
"39",2,36,31,"bbs_rtrg_2_36"
"40",2,39,27,"bbs_rtrg_2_39"
"41",2,45,31,"bbs_rtrg_2_45"
"42",2,52,29,"bbs_rtrg_2_52"
"43",2,53,31,"bbs_rtrg_2_53"
"44",2,54,27,"bbs_rtrg_2_54"
"45",2,59,27,"bbs_rtrg_2_59"
"46",2,60,28,"bbs_rtrg_2_60"
"47",2,63,31,"bbs_rtrg_2_63"
"48",2,72,27,"bbs_rtrg_2_72"
"49",2,76,25,"bbs_rtrg_2_76"
"50",2,80,28,"bbs_rtrg_2_80"
"51",2,89,31,"bbs_rtrg_2_89"
"52",2,91,28,"bbs_rtrg_2_91"
"53",2,92,30,"bbs_rtrg_2_92"
"54",3,3,24,"bbs_rtrg_3_3"
"55",3,4,27,"bbs_rtrg_3_4"
"56",3,14,27,"bbs_rtrg_3_14"
"57",3,17,25,"bbs_rtrg_3_17"
"58",3,18,28,"bbs_rtrg_3_18"
"59",3,21,29,"bbs_rtrg_3_21"
"60",3,25,24,"bbs_rtrg_3_25"
"61",3,34,30,"bbs_rtrg_3_34"
"62",3,36,30,"bbs_rtrg_3_36"
"63",3,38,27,"bbs_rtrg_3_38"
"64",3,39,30,"bbs_rtrg_3_39"
"65",3,44,29,"bbs_rtrg_3_44"
"66",3,46,31,"bbs_rtrg_3_46"
"67",3,50,30,"bbs_rtrg_3_50"
"68",3,52,25,"bbs_rtrg_3_52"
"69",3,58,31,"bbs_rtrg_3_58"
"70",3,59,30,"bbs_rtrg_3_59"
"71",3,60,26,"bbs_rtrg_3_60"
"72",3,63,28,"bbs_rtrg_3_63"
"73",3,66,25,"bbs_rtrg_3_66"
"74",3,69,28,"bbs_rtrg_3_69"
"75",3,72,24,"bbs_rtrg_3_72"
"76",3,76,29,"bbs_rtrg_3_76"
"77",3,80,31,"bbs_rtrg_3_80"
"78",3,81,31,"bbs_rtrg_3_81"
"79",3,82,28,"bbs_rtrg_3_82"
"80",3,88,27,"bbs_rtrg_3_88"
"81",3,89,28,"bbs_rtrg_3_89"
"82",3,91,30,"bbs_rtrg_3_91"
"83",4,4,28,"bbs_rtrg_4_4"
"84",4,7,29,"bbs_rtrg_4_7"
"85",4,17,30,"bbs_rtrg_4_17"
"86",4,21,27,"bbs_rtrg_4_21"
"87",4,25,25,"bbs_rtrg_4_25"
"88",4,27,25,"bbs_rtrg_4_27"
"89",4,38,26,"bbs_rtrg_4_38"
"90",4,39,24,"bbs_rtrg_4_39"
"91",4,44,28,"bbs_rtrg_4_44"
"92",4,46,30,"bbs_rtrg_4_46"
"93",4,52,25,"bbs_rtrg_4_52"
"94",4,53,24,"bbs_rtrg_4_53"
"95",4,54,25,"bbs_rtrg_4_54"
"96",4,58,31,"bbs_rtrg_4_58"
"97",4,60,30,"bbs_rtrg_4_60"
"98",4,63,30,"bbs_rtrg_4_63"
"99",4,64,28,"bbs_rtrg_4_64"
"100",4,72,27,"bbs_rtrg_4_72"
"101",4,76,29,"bbs_rtrg_4_76"
"102",4,82,28,"bbs_rtrg_4_82"
"103",4,85,29,"bbs_rtrg_4_85"
"104",4,88,30,"bbs_rtrg_4_88"
"105",4,89,31,"bbs_rtrg_4_89"
"106",4,91,31,"bbs_rtrg_4_91"
"107",5,7,31,"bbs_rtrg_5_7"
"108",5,27,27,"bbs_rtrg_5_27"
"109",5,35,31,"bbs_rtrg_5_35"
"110",5,45,30,"bbs_rtrg_5_45"
"111",5,46,31,"bbs_rtrg_5_46"
"112",5,58,28,"bbs_rtrg_5_58"
"113",5,60,27,"bbs_rtrg_5_60"
"114",5,63,28,"bbs_rtrg_5_63"
"115",5,64,29,"bbs_rtrg_5_64"
"116",5,66,27,"bbs_rtrg_5_66"
"117",5,67,25,"bbs_rtrg_5_67"
"118",5,68,28,"bbs_rtrg_5_68"
"119",5,72,28,"bbs_rtrg_5_72"
"120",5,75,29,"bbs_rtrg_5_75"
"121",5,76,31,"bbs_rtrg_5_76"
"122",5,80,24,"bbs_rtrg_5_80"
"123",5,82,24,"bbs_rtrg_5_82"
"124",5,87,28,"bbs_rtrg_5_87"
"125",5,88,31,"bbs_rtrg_5_88"
"126",5,89,29,"bbs_rtrg_5_89"
"127",5,91,29,"bbs_rtrg_5_91"
"128",5,92,31,"bbs_rtrg_5_92"
"129",6,7,24,"bbs_rtrg_6_7"
"130",6,14,26,"bbs_rtrg_6_14"
"131",6,17,26,"bbs_rtrg_6_17"
"132",6,25,27,"bbs_rtrg_6_25"
"133",6,27,25,"bbs_rtrg_6_27"
"134",6,36,31,"bbs_rtrg_6_36"
"135",6,38,28,"bbs_rtrg_6_38"
"136",6,39,30,"bbs_rtrg_6_39"
"137",6,44,31,"bbs_rtrg_6_44"
"138",6,46,31,"bbs_rtrg_6_46"
"139",6,47,25,"bbs_rtrg_6_47"
"140",6,53,28,"bbs_rtrg_6_53"
"141",6,58,29,"bbs_rtrg_6_58"
"142",6,60,28,"bbs_rtrg_6_60"
"143",6,66,26,"bbs_rtrg_6_66"
"144",6,68,29,"bbs_rtrg_6_68"
"145",6,72,31,"bbs_rtrg_6_72"
"146",6,76,27,"bbs_rtrg_6_76"
"147",6,82,31,"bbs_rtrg_6_82"
"148",6,87,28,"bbs_rtrg_6_87"
"149",6,89,26,"bbs_rtrg_6_89"
"150",6,91,26,"bbs_rtrg_6_91"
"151",7,2,29,"bbs_rtrg_7_2"
"152",7,4,24,"bbs_rtrg_7_4"
"153",7,7,29,"bbs_rtrg_7_7"
"154",7,14,26,"bbs_rtrg_7_14"
"155",7,18,27,"bbs_rtrg_7_18"
"156",7,27,25,"bbs_rtrg_7_27"
"157",7,36,24,"bbs_rtrg_7_36"
"158",7,38,27,"bbs_rtrg_7_38"
"159",7,43,24,"bbs_rtrg_7_43"
"160",7,44,30,"bbs_rtrg_7_44"
"161",7,45,26,"bbs_rtrg_7_45"
"162",7,47,25,"bbs_rtrg_7_47"
"163",7,52,30,"bbs_rtrg_7_52"
"164",7,53,25,"bbs_rtrg_7_53"
"165",7,54,28,"bbs_rtrg_7_54"
"166",7,55,25,"bbs_rtrg_7_55"
"167",7,58,29,"bbs_rtrg_7_58"
"168",7,64,29,"bbs_rtrg_7_64"
"169",7,68,28,"bbs_rtrg_7_68"
"170",7,87,27,"bbs_rtrg_7_87"
"171",7,88,30,"bbs_rtrg_7_88"
"172",7,91,25,"bbs_rtrg_7_91"
"173",7,92,29,"bbs_rtrg_7_92"
"174",8,7,29,"bbs_rtrg_8_7"
"175",8,18,29,"bbs_rtrg_8_18"
"176",8,34,26,"bbs_rtrg_8_34"
"177",8,38,29,"bbs_rtrg_8_38"
"178",8,46,29,"bbs_rtrg_8_46"
"179",8,50,31,"bbs_rtrg_8_50"
"180",8,52,27,"bbs_rtrg_8_52"
"181",8,53,27,"bbs_rtrg_8_53"
"182",8,54,26,"bbs_rtrg_8_54"
"183",8,58,31,"bbs_rtrg_8_58"
"184",8,60,25,"bbs_rtrg_8_60"
"185",8,61,27,"bbs_rtrg_8_61"
"186",8,64,26,"bbs_rtrg_8_64"
"187",8,68,25,"bbs_rtrg_8_68"
"188",8,69,28,"bbs_rtrg_8_69"
"189",8,72,30,"bbs_rtrg_8_72"
"190",8,76,27,"bbs_rtrg_8_76"
"191",8,85,25,"bbs_rtrg_8_85"
"192",8,87,24,"bbs_rtrg_8_87"
"193",8,88,26,"bbs_rtrg_8_88"
"194",8,91,29,"bbs_rtrg_8_91"
"195",9,4,29,"bbs_rtrg_9_4"
"196",9,17,30,"bbs_rtrg_9_17"
"197",9,18,31,"bbs_rtrg_9_18"
"198",9,25,26,"bbs_rtrg_9_25"
"199",9,34,28,"bbs_rtrg_9_34"
"200",9,35,28,"bbs_rtrg_9_35"
"201",9,39,29,"bbs_rtrg_9_39"
"202",9,42,28,"bbs_rtrg_9_42"
"203",9,43,25,"bbs_rtrg_9_43"
"204",9,44,25,"bbs_rtrg_9_44"
"205",9,46,27,"bbs_rtrg_9_46"
"206",9,47,30,"bbs_rtrg_9_47"
"207",9,50,28,"bbs_rtrg_9_50"
"208",9,53,31,"bbs_rtrg_9_53"
"209",9,58,30,"bbs_rtrg_9_58"
"210",9,60,29,"bbs_rtrg_9_60"
"211",9,61,26,"bbs_rtrg_9_61"
"212",9,64,28,"bbs_rtrg_9_64"
"213",9,65,24,"bbs_rtrg_9_65"
"214",9,69,29,"bbs_rtrg_9_69"
"215",9,72,25,"bbs_rtrg_9_72"
"216",9,75,25,"bbs_rtrg_9_75"
"217",9,76,27,"bbs_rtrg_9_76"
"218",9,82,30,"bbs_rtrg_9_82"
"219",9,87,26,"bbs_rtrg_9_87"
"220",9,89,28,"bbs_rtrg_9_89"
"221",9,91,26,"bbs_rtrg_9_91"
"222",10,2,27,"bbs_rtrg_10_2"
"223",10,3,29,"bbs_rtrg_10_3"
"224",10,4,27,"bbs_rtrg_10_4"
"225",10,7,28,"bbs_rtrg_10_7"
"226",10,21,27,"bbs_rtrg_10_21"
"227",10,25,30,"bbs_rtrg_10_25"
"228",10,27,28,"bbs_rtrg_10_27"
"229",10,33,29,"bbs_rtrg_10_33"
"230",10,34,29,"bbs_rtrg_10_34"
"231",10,35,31,"bbs_rtrg_10_35"
"232",10,38,28,"bbs_rtrg_10_38"
"233",10,39,27,"bbs_rtrg_10_39"
"234",10,42,26,"bbs_rtrg_10_42"
"235",10,50,24,"bbs_rtrg_10_50"
"236",10,52,31,"bbs_rtrg_10_52"
"237",10,53,25,"bbs_rtrg_10_53"
"238",10,58,31,"bbs_rtrg_10_58"
"239",10,59,28,"bbs_rtrg_10_59"
"240",10,60,28,"bbs_rtrg_10_60"
"241",10,63,31,"bbs_rtrg_10_63"
"242",10,64,28,"bbs_rtrg_10_64"
"243",10,67,24,"bbs_rtrg_10_67"
"244",10,72,30,"bbs_rtrg_10_72"
"245",10,81,31,"bbs_rtrg_10_81"
"246",10,82,31,"bbs_rtrg_10_82"
"247",10,85,25,"bbs_rtrg_10_85"
"248",10,87,29,"bbs_rtrg_10_87"
"249",10,88,26,"bbs_rtrg_10_88"
"250",10,89,24,"bbs_rtrg_10_89"
"251",10,91,29,"bbs_rtrg_10_91"
"252",11,3,25,"bbs_rtrg_11_3"
"253",11,17,31,"bbs_rtrg_11_17"
"254",11,34,26,"bbs_rtrg_11_34"
"255",11,35,31,"bbs_rtrg_11_35"
"256",11,36,27,"bbs_rtrg_11_36"
"257",11,38,24,"bbs_rtrg_11_38"
"258",11,39,25,"bbs_rtrg_11_39"
"259",11,42,26,"bbs_rtrg_11_42"
"260",11,46,31,"bbs_rtrg_11_46"
"261",11,47,25,"bbs_rtrg_11_47"
"262",11,52,31,"bbs_rtrg_11_52"
"263",11,55,25,"bbs_rtrg_11_55"
"264",11,58,30,"bbs_rtrg_11_58"
"265",11,63,31,"bbs_rtrg_11_63"
"266",11,64,30,"bbs_rtrg_11_64"
"267",11,65,26,"bbs_rtrg_11_65"
"268",11,66,24,"bbs_rtrg_11_66"
"269",11,67,31,"bbs_rtrg_11_67"
"270",11,68,29,"bbs_rtrg_11_68"
"271",11,80,26,"bbs_rtrg_11_80"
"272",11,83,29,"bbs_rtrg_11_83"
"273",11,85,31,"bbs_rtrg_11_85"
"274",11,87,25,"bbs_rtrg_11_87"
"275",11,91,29,"bbs_rtrg_11_91"
"276",11,92,26,"bbs_rtrg_11_92"
"277",12,6,28,"bbs_rtrg_12_6"
"278",12,17,26,"bbs_rtrg_12_17"
"279",12,25,25,"bbs_rtrg_12_25"
"280",12,33,26,"bbs_rtrg_12_33"
"281",12,34,29,"bbs_rtrg_12_34"
"282",12,35,27,"bbs_rtrg_12_35"
"283",12,38,24,"bbs_rtrg_12_38"
"284",12,42,27,"bbs_rtrg_12_42"
"285",12,44,28,"bbs_rtrg_12_44"
"286",12,45,26,"bbs_rtrg_12_45"
"287",12,46,24,"bbs_rtrg_12_46"
"288",12,50,25,"bbs_rtrg_12_50"
"289",12,54,30,"bbs_rtrg_12_54"
"290",12,58,26,"bbs_rtrg_12_58"
"291",12,63,25,"bbs_rtrg_12_63"
"292",12,64,26,"bbs_rtrg_12_64"
"293",12,68,30,"bbs_rtrg_12_68"
"294",12,72,25,"bbs_rtrg_12_72"
"295",12,76,26,"bbs_rtrg_12_76"
"296",12,85,28,"bbs_rtrg_12_85"
"297",12,91,31,"bbs_rtrg_12_91"
"298",13,7,29,"bbs_rtrg_13_7"
"299",13,17,27,"bbs_rtrg_13_17"
"300",13,27,24,"bbs_rtrg_13_27"
"301",13,33,24,"bbs_rtrg_13_33"
"302",13,34,27,"bbs_rtrg_13_34"
"303",13,35,31,"bbs_rtrg_13_35"
"304",13,36,31,"bbs_rtrg_13_36"
"305",13,38,29,"bbs_rtrg_13_38"
"306",13,44,31,"bbs_rtrg_13_44"
"307",13,45,30,"bbs_rtrg_13_45"
"308",13,46,31,"bbs_rtrg_13_46"
"309",13,53,29,"bbs_rtrg_13_53"
"310",13,54,26,"bbs_rtrg_13_54"
"311",13,58,30,"bbs_rtrg_13_58"
"312",13,59,26,"bbs_rtrg_13_59"
"313",13,60,29,"bbs_rtrg_13_60"
"314",13,63,26,"bbs_rtrg_13_63"
"315",13,65,25,"bbs_rtrg_13_65"
"316",13,72,25,"bbs_rtrg_13_72"
"317",13,82,28,"bbs_rtrg_13_82"
"318",13,88,25,"bbs_rtrg_13_88"
"319",13,91,28,"bbs_rtrg_13_91"
"320",14,2,29,"bbs_rtrg_14_2"
"321",14,6,29,"bbs_rtrg_14_6"
"322",14,14,27,"bbs_rtrg_14_14"
"323",14,25,30,"bbs_rtrg_14_25"
"324",14,27,26,"bbs_rtrg_14_27"
"325",14,33,29,"bbs_rtrg_14_33"
"326",14,34,29,"bbs_rtrg_14_34"
"327",14,35,31,"bbs_rtrg_14_35"
"328",14,36,29,"bbs_rtrg_14_36"
"329",14,38,31,"bbs_rtrg_14_38"
"330",14,46,31,"bbs_rtrg_14_46"
"331",14,47,31,"bbs_rtrg_14_47"
"332",14,52,31,"bbs_rtrg_14_52"
