"","route","region","nyears","matssname"
"223",40,54,31,"bbs_rtrg_40_54"
"224",41,3,31,"bbs_rtrg_41_3"
"225",41,34,31,"bbs_rtrg_41_34"
"226",41,56,31,"bbs_rtrg_41_56"
"227",41,90,30,"bbs_rtrg_41_90"
"228",42,34,31,"bbs_rtrg_42_34"
"229",42,46,30,"bbs_rtrg_42_46"
"230",42,64,31,"bbs_rtrg_42_64"
"231",42,66,31,"bbs_rtrg_42_66"
"232",42,83,31,"bbs_rtrg_42_83"
"233",42,91,31,"bbs_rtrg_42_91"
"234",43,2,31,"bbs_rtrg_43_2"
"235",43,34,30,"bbs_rtrg_43_34"
"236",43,46,30,"bbs_rtrg_43_46"
"237",43,89,31,"bbs_rtrg_43_89"
"238",43,91,30,"bbs_rtrg_43_91"
"239",44,17,30,"bbs_rtrg_44_17"
"240",44,34,31,"bbs_rtrg_44_34"
"241",44,39,31,"bbs_rtrg_44_39"
"242",44,46,31,"bbs_rtrg_44_46"
"243",44,88,30,"bbs_rtrg_44_88"
"244",45,2,31,"bbs_rtrg_45_2"
"245",45,11,30,"bbs_rtrg_45_11"
"246",45,83,30,"bbs_rtrg_45_83"
"247",45,91,30,"bbs_rtrg_45_91"
"248",46,27,31,"bbs_rtrg_46_27"
"249",46,34,31,"bbs_rtrg_46_34"
"250",46,90,30,"bbs_rtrg_46_90"
"251",47,2,31,"bbs_rtrg_47_2"
"252",47,46,31,"bbs_rtrg_47_46"
"253",47,61,31,"bbs_rtrg_47_61"
"254",47,72,30,"bbs_rtrg_47_72"
"255",47,91,30,"bbs_rtrg_47_91"
"256",48,46,31,"bbs_rtrg_48_46"
"257",48,50,30,"bbs_rtrg_48_50"
"258",48,90,31,"bbs_rtrg_48_90"
"259",49,66,30,"bbs_rtrg_49_66"
"260",49,72,31,"bbs_rtrg_49_72"
"261",49,91,30,"bbs_rtrg_49_91"
"262",50,2,31,"bbs_rtrg_50_2"
"263",50,72,31,"bbs_rtrg_50_72"
"264",52,34,30,"bbs_rtrg_52_34"
"265",53,25,30,"bbs_rtrg_53_25"
"266",53,61,30,"bbs_rtrg_53_61"
"267",53,92,31,"bbs_rtrg_53_92"
"268",54,68,30,"bbs_rtrg_54_68"
"269",54,72,31,"bbs_rtrg_54_72"
"270",54,91,31,"bbs_rtrg_54_91"
"271",55,49,30,"bbs_rtrg_55_49"
"272",55,91,31,"bbs_rtrg_55_91"
"273",56,61,31,"bbs_rtrg_56_61"
"274",56,72,31,"bbs_rtrg_56_72"
"275",56,91,30,"bbs_rtrg_56_91"
"276",57,27,31,"bbs_rtrg_57_27"
"277",57,61,30,"bbs_rtrg_57_61"
"278",59,34,31,"bbs_rtrg_59_34"
"279",59,61,30,"bbs_rtrg_59_61"
"280",60,34,31,"bbs_rtrg_60_34"
"281",60,72,31,"bbs_rtrg_60_72"
"282",60,76,30,"bbs_rtrg_60_76"
"283",61,34,31,"bbs_rtrg_61_34"
"284",61,72,31,"bbs_rtrg_61_72"
"285",62,72,30,"bbs_rtrg_62_72"
"286",63,34,31,"bbs_rtrg_63_34"
"287",63,91,31,"bbs_rtrg_63_91"
"288",64,61,30,"bbs_rtrg_64_61"
"289",64,72,31,"bbs_rtrg_64_72"
"290",64,83,31,"bbs_rtrg_64_83"
"291",65,61,31,"bbs_rtrg_65_61"
"292",66,25,30,"bbs_rtrg_66_25"
"293",66,68,30,"bbs_rtrg_66_68"
"294",67,25,31,"bbs_rtrg_67_25"
"295",69,91,31,"bbs_rtrg_69_91"
"296",70,91,31,"bbs_rtrg_70_91"
"297",71,14,31,"bbs_rtrg_71_14"
"298",71,72,30,"bbs_rtrg_71_72"
"299",72,72,30,"bbs_rtrg_72_72"
"300",73,25,30,"bbs_rtrg_73_25"
"301",74,66,30,"bbs_rtrg_74_66"
"302",80,14,30,"bbs_rtrg_80_14"
"303",81,25,31,"bbs_rtrg_81_25"
"304",82,83,30,"bbs_rtrg_82_83"
"305",83,72,31,"bbs_rtrg_83_72"
"306",83,92,30,"bbs_rtrg_83_92"
"307",84,72,31,"bbs_rtrg_84_72"
"308",86,66,30,"bbs_rtrg_86_66"
"309",86,72,31,"bbs_rtrg_86_72"
"310",87,25,31,"bbs_rtrg_87_25"
"311",89,61,30,"bbs_rtrg_89_61"
"312",90,72,31,"bbs_rtrg_90_72"
"313",91,72,30,"bbs_rtrg_91_72"
"314",98,14,31,"bbs_rtrg_98_14"
"315",102,45,30,"bbs_rtrg_102_45"
"316",107,66,30,"bbs_rtrg_107_66"
"317",108,14,30,"bbs_rtrg_108_14"
"318",109,7,30,"bbs_rtrg_109_7"
"319",109,85,30,"bbs_rtrg_109_85"
"320",111,60,30,"bbs_rtrg_111_60"
"321",111,61,30,"bbs_rtrg_111_61"
"322",111,89,30,"bbs_rtrg_111_89"
"323",112,46,30,"bbs_rtrg_112_46"
"324",113,51,30,"bbs_rtrg_113_51"
"325",113,68,31,"bbs_rtrg_113_68"
"326",119,3,30,"bbs_rtrg_119_3"
"327",119,68,31,"bbs_rtrg_119_68"
"328",119,85,30,"bbs_rtrg_119_85"
"329",120,92,31,"bbs_rtrg_120_92"
"330",121,61,31,"bbs_rtrg_121_61"
"331",123,46,31,"bbs_rtrg_123_46"
"332",128,33,31,"bbs_rtrg_128_33"
"333",131,52,31,"bbs_rtrg_131_52"
"334",132,72,31,"bbs_rtrg_132_72"
"335",140,83,30,"bbs_rtrg_140_83"
"336",153,14,30,"bbs_rtrg_153_14"
"337",155,72,31,"bbs_rtrg_155_72"
"338",165,72,31,"bbs_rtrg_165_72"
"339",166,14,30,"bbs_rtrg_166_14"
"340",168,14,30,"bbs_rtrg_168_14"
"341",182,72,30,"bbs_rtrg_182_72"
"342",186,14,31,"bbs_rtrg_186_14"
"343",188,14,30,"bbs_rtrg_188_14"
"344",194,72,30,"bbs_rtrg_194_72"
"345",198,14,30,"bbs_rtrg_198_14"
"346",199,14,30,"bbs_rtrg_199_14"
"347",208,11,31,"bbs_rtrg_208_11"
"348",220,33,30,"bbs_rtrg_220_33"
"349",224,3,31,"bbs_rtrg_224_3"
"350",255,11,31,"bbs_rtrg_255_11"
