uid,nightuid,namedLocation,domainID,siteID,plotID,collectDate,endDate,samplingImpractical,samplingProtocolVersion,remarks,dataQF,publicationDate,release
1b9763d6-6e25-491f-b51c-d636843e1a69,21903ea8-e7c1-4df1-82b8-81aa03d062b5,ORNL_003.mammalGrid.mam,D07,ORNL,ORNL_003,2018-09-06,2018-09-06,,NEON.DOC.000481vK,,,20210113T181741Z,RELEASE-2021
bcbb8d84-1b82-4f2b-ad9d-3967a2362caf,bf8816f3-818e-4935-9afe-3862b132aa02,ORNL_001.mammalGrid.mam,D07,ORNL,ORNL_001,2018-09-07,2018-09-07,,NEON.DOC.000481vK,,,20210113T181741Z,RELEASE-2021
04b77235-56fc-4de1-91ad-7e115683a56e,8807a64f-3739-4348-8cf3-318be9a290c5,ORNL_007.mammalGrid.mam,D07,ORNL,ORNL_007,2018-09-07,2018-09-07,,NEON.DOC.000481vK,,,20210113T181741Z,RELEASE-2021
d420fb89-e3a9-4a5a-8897-b2d687d50b15,c279fe8a-43a1-4948-a80e-2329d29e415d,ORNL_002.mammalGrid.mam,D07,ORNL,ORNL_002,2018-09-07,2018-09-07,,NEON.DOC.000481vK,,,20210113T181741Z,RELEASE-2021
bb66980c-3c3e-44bd-b36e-ca32470f273b,2307e69f-75cb-4a1b-9f9f-71197df8fcd6,ORNL_003.mammalGrid.mam,D07,ORNL,ORNL_003,2018-09-07,2018-09-07,,NEON.DOC.000481vK,,,20210113T181741Z,RELEASE-2021
92383078-e56a-40a6-8120-1e405f5e85a9,5c944c97-b76d-40dc-bed7-40dd521c8c79,ORNL_001.mammalGrid.mam,D07,ORNL,ORNL_001,2018-10-02,2018-10-02,,NEON.DOC.000481vK,,,20210113T175216Z,RELEASE-2021
0032f291-cf39-4bb3-9b4a-62d6137ce605,a45e9a9d-9398-41f7-b220-090e63f7fcac,ORNL_039.mammalGrid.mam,D07,ORNL,ORNL_039,2018-10-02,2018-10-02,,NEON.DOC.000481vK,,,20210113T175216Z,RELEASE-2021
569d346d-3cdb-42ae-b17c-53c00ced3409,d5fcb980-0cf1-45dd-8b00-1b03bf628044,ORNL_002.mammalGrid.mam,D07,ORNL,ORNL_002,2018-10-02,2018-10-02,,NEON.DOC.000481vK,,,20210113T175216Z,RELEASE-2021
607adb78-77cf-42e0-bbab-2d0e5469c871,b1325119-7fe6-44c6-ab1f-6d5329e79870,ORNL_003.mammalGrid.mam,D07,ORNL,ORNL_003,2018-10-02,2018-10-02,,NEON.DOC.000481vK,,,20210113T175216Z,RELEASE-2021
0e5f4540-c4d4-484c-bf8e-7485333d2164,a1f39339-140f-4a3b-883e-f02679f7665e,ORNL_002.mammalGrid.mam,D07,ORNL,ORNL_002,2018-10-03,2018-10-03,,NEON.DOC.000481vK,,,20210113T175216Z,RELEASE-2021
8c09948a-2834-44ea-b20e-ffc1aac553a2,d86bce02-ddba-4d48-890e-4d670cf402d2,ORNL_001.mammalGrid.mam,D07,ORNL,ORNL_001,2018-10-03,2018-10-03,,NEON.DOC.000481vK,,,20210113T175216Z,RELEASE-2021
5a098953-50db-4a90-a96b-3165909dc93f,6db954de-7e9c-4fdd-81fd-62e6a34a573c,ORNL_027.mammalGrid.mam,D07,ORNL,ORNL_027,2018-10-03,2018-10-03,,NEON.DOC.000481vK,,,20210113T175216Z,RELEASE-2021
0cdd143a-c229-4ee3-82fa-219ddfb86b60,6cdc1a39-005e-49fe-be13-a7dba408d23b,ORNL_003.mammalGrid.mam,D07,ORNL,ORNL_003,2018-10-03,2018-10-03,,NEON.DOC.000481vK,,,20210113T175216Z,RELEASE-2021
a695d097-ff26-432b-95d1-412752e2ca92,8c595970-87d8-42fd-8953-326ba7ae45a3,ORNL_002.mammalGrid.mam,D07,ORNL,ORNL_002,2018-10-04,2018-10-04,,NEON.DOC.000481vK,,,20210113T175216Z,RELEASE-2021
62907492-571e-4b23-891b-488a86ede9c2,37d1e29d-4323-4df1-b77e-cb296e784d4e,ORNL_001.mammalGrid.mam,D07,ORNL,ORNL_001,2018-10-04,2018-10-04,,NEON.DOC.000481vK,,,20210113T175216Z,RELEASE-2021
13ba3ad3-8f8d-463a-8a62-2642922f793e,7e19e8d8-3741-4358-9e47-361cce08867b,ORNL_007.mammalGrid.mam,D07,ORNL,ORNL_007,2018-10-04,2018-10-04,,NEON.DOC.000481vK,,,20210113T175216Z,RELEASE-2021
