"scientificName","mean_wgt","sd_to_use","nind"
"DM",43.3969748964456,6.00572417701731,588
"DO",48.5962882090728,6.90236244439358,151
"DS",113.857142857143,14.1739584767664,14
"PB",32.6899169142329,7.43233495029965,1623
"PE",20.8776296690244,3.75598936916234,82
"PF",7,1.35188246785605,59
"PM",22.6052631578947,4.83533991473592,38
"PP",17.2852551481792,2.98781503842628,1049
"RM",10.4761904761905,1.93199397840695,105
