"scientificName","mean_wgt","sd_to_use"
"DM",42.5099169907143,7.26939906642366
"DO",46.6605097408333,8.57045941963125
"DS",118.5871307248,18.5333700823022
"PE",19.9577464788732,4.21370763009867
"PF",7.12338305440323,1.1531734035444
"PM",21.3815417885714,4.68471298757212
"PP",15.4464285714286,2.68950582048851
"RM",10.2,2.44126777715767
