"route","statenum","id"
14,18,"sp7250"
116,18,"sp7250"
7,18,"sp7590"
8,18,"sp7590"
9,18,"sp7590"
14,18,"sp7590"
116,18,"sp7590"
7,18,"sp7570"
8,18,"sp7570"
9,18,"sp7570"
14,18,"sp7570"
116,18,"sp7570"
7,18,"sp7260"
8,18,"sp7260"
9,18,"sp7260"
14,18,"sp7260"
116,18,"sp7260"
7,18,"sp4610"
8,18,"sp4610"
9,18,"sp4610"
14,18,"sp4610"
116,18,"sp4610"
7,18,"sp4770"
8,18,"sp4770"
9,18,"sp4770"
14,18,"sp4770"
116,18,"sp4770"
7,18,"sp4940"
8,18,"sp4940"
9,18,"sp4940"
14,18,"sp4940"
116,18,"sp4940"
116,18,"sp7040"
7,18,"sp7040"
8,18,"sp7040"
9,18,"sp7040"
14,18,"sp7040"
7,18,"sp4630"
8,18,"sp4630"
9,18,"sp4630"
14,18,"sp4630"
116,18,"sp4630"
7,18,"sp4670"
8,18,"sp4670"
9,18,"sp4670"
14,18,"sp4670"
116,18,"sp4670"
7,18,"sp4660"
8,18,"sp4660"
9,18,"sp4660"
14,18,"sp4660"
116,18,"sp4660"
7,18,"sp4650"
8,18,"sp4650"
9,18,"sp4650"
14,18,"sp4650"
116,18,"sp4650"
7,18,"sp6810"
8,18,"sp6810"
9,18,"sp6810"
14,18,"sp6810"
116,18,"sp6810"
7,18,"sp6390"
8,18,"sp6390"
9,18,"sp6390"
14,18,"sp6390"
116,18,"sp6390"
7,18,"sp4230"
8,18,"sp4230"
9,18,"sp4230"
14,18,"sp4230"
116,18,"sp4230"
7,18,"sp5830"
8,18,"sp5830"
9,18,"sp5830"
14,18,"sp5830"
116,18,"sp5830"
7,18,"sp5810"
8,18,"sp5810"
9,18,"sp5810"
14,18,"sp5810"
116,18,"sp5810"
7,18,"sp6360"
7,18,"sp6410"
8,18,"sp6360"
8,18,"sp6410"
9,18,"sp6360"
9,18,"sp6410"
14,18,"sp6360"
14,18,"sp6410"
116,18,"sp6360"
116,18,"sp6410"
7,18,"sp4520"
8,18,"sp4520"
9,18,"sp4520"
14,18,"sp4520"
116,18,"sp4520"
7,18,"sp3520"
8,18,"sp3520"
9,18,"sp3520"
14,18,"sp3520"
116,18,"sp3520"
7,18,"sp3330"
8,18,"sp3330"
9,18,"sp3330"
14,18,"sp3330"
116,18,"sp3330"
7,18,"sp3340"
8,18,"sp3340"
9,18,"sp3340"
14,18,"sp3340"
116,18,"sp3340"
7,18,"sp6760"
8,18,"sp6760"
9,18,"sp6760"
14,18,"sp6760"
116,18,"sp6760"
7,18,"sp6750"
8,18,"sp6750"
9,18,"sp6750"
14,18,"sp6750"
116,18,"sp6750"
7,18,"sp6120"
8,18,"sp6120"
9,18,"sp6120"
14,18,"sp6120"
116,18,"sp6120"
7,18,"sp6730"
8,18,"sp6730"
9,18,"sp6730"
14,18,"sp6730"
116,18,"sp6730"
7,18,"sp6080"
8,18,"sp6080"
9,18,"sp6080"
14,18,"sp6080"
116,18,"sp6080"
7,18,"sp5340"
8,18,"sp5340"
9,18,"sp5340"
14,18,"sp5340"
116,18,"sp5340"
7,18,"sp7510"
8,18,"sp7510"
9,18,"sp7510"
14,18,"sp7510"
116,18,"sp7510"
9,18,"sp5400"
116,18,"sp5400"
14,18,"sp6370"
7,18,"sp5110"
8,18,"sp5110"
9,18,"sp5110"
14,18,"sp5110"
116,18,"sp5110"
8,18,"sp7490"
9,18,"sp7490"
14,18,"sp7490"
7,18,"sp4560"
8,18,"sp4560"
9,18,"sp4560"
14,18,"sp4560"
116,18,"sp4560"
7,18,"sp6870"
8,18,"sp6870"
9,18,"sp6870"
14,18,"sp6870"
116,18,"sp6870"
7,18,"sp5630"
8,18,"sp5630"
9,18,"sp5630"
14,18,"sp5630"
116,18,"sp5630"
7,18,"sp6140"
8,18,"sp6140"
9,18,"sp6140"
14,18,"sp6140"
116,18,"sp6140"
7,18,"sp7050"
8,18,"sp7050"
9,18,"sp7050"
116,18,"sp7050"
14,18,"sp7050"
7,18,"sp4440"
8,18,"sp4440"
9,18,"sp4440"
14,18,"sp4440"
116,18,"sp4440"
7,18,"sp6280"
8,18,"sp6280"
9,18,"sp6280"
14,18,"sp6280"
116,18,"sp6280"
7,18,"sp6260"
8,18,"sp6260"
9,18,"sp6260"
14,18,"sp6260"
116,18,"sp6260"
116,18,"sp6290"
7,18,"sp6290"
8,18,"sp6290"
9,18,"sp6290"
14,18,"sp6290"
7,18,"sp5540"
8,18,"sp5540"
9,18,"sp5540"
14,18,"sp5540"
