Sequence,Order_,FamilyName,Family,Subfamily,Tribe,CommonName,Scientific,Authority,BirdLifeTa,RedListCat,Synonyms,Alternativ,TaxonomicN,SISRecID
1,STRUTHIONIFORMES,Struthionidae,Ostriches,NA,NA,Common Ostrich,Struthio camelus,"Linnaeus, 1758",R,LC,NA,NA,"Struthio camelus and S. molybdophanes (del Hoyo and Collar 2014) were previously lumped as S. camelus following Sibley and Monroe (1990, 1993).",45020636
2,STRUTHIONIFORMES,Struthionidae,Ostriches,NA,NA,Somali Ostrich,Struthio molybdophanes,"Reichenow, 1883",R,VU,NA,NA,"Struthio camelus and S. molybdophanes (del Hoyo and Collar 2014) were previously lumped as S. camelus following Sibley and Monroe (1990, 1993).",22732795
3,STRUTHIONIFORMES,Rheidae,Rheas,NA,NA,Greater Rhea,Rhea americana,"(Linnaeus, 1758)",R,NT,NA,"Common Rhea, Avestruz, Ñandú, Ñandú Común",NA,22678073
4,STRUTHIONIFORMES,Rheidae,Rheas,NA,NA,Lesser Rhea,Rhea pennata,"d'Orbigny, 1834",R,LC,NA,NA,"Rhea pennata and R. tarapacensis (del Hoyo and Collar 2014) were previously lumped as R. pennata following Sibley and Monroe (1990, 1993).",22728199
5,STRUTHIONIFORMES,Rheidae,Rheas,NA,NA,Puna Rhea,Rhea tarapacensis,"(Chubb, 1913)",R,NT,NA,NA,"Rhea pennata and R. tarapacensis (del Hoyo and Collar 2014) were previously lumped as R. pennata following Sibley and Monroe (1990, 1993).",22728206
6,STRUTHIONIFORMES,Tinamidae,Tinamous,NA,NA,Tawny-breasted Tinamou,Nothocercus julius,"(Bonaparte, 1854)",R,LC,NA,NA,NA,22678157
7,STRUTHIONIFORMES,Tinamidae,Tinamous,NA,NA,Highland Tinamou,Nothocercus bonapartei,"Gray, 1867",R,LC,NA,NA,NA,22678154
8,STRUTHIONIFORMES,Tinamidae,Tinamous,NA,NA,Hooded Tinamou,Nothocercus nigrocapillus,"(G. R. Gray, 1867)",R,LC,NA,NA,NA,22678160
9,STRUTHIONIFORMES,Tinamidae,Tinamous,NA,NA,Grey Tinamou,Tinamus tao,"Temminck, 1815",R,VU,NA,Gray Tinamou,NA,22678135
10,STRUTHIONIFORMES,Tinamidae,Tinamous,NA,NA,Solitary Tinamou,Tinamus solitarius,"(Vieillot, 1819)",R,NT,NA,"Tinamu Macuco, Tinamu Grande, Macuco",NA,22678139
11,STRUTHIONIFORMES,Tinamidae,Tinamous,NA,NA,Black Tinamou,Tinamus osgoodi,"Conover, 1949",R,VU,NA,NA,NA,22678145
12,STRUTHIONIFORMES,Tinamidae,Tinamous,NA,NA,Great Tinamou,Tinamus major,"(Gmelin, 1789)",R,NT,NA,NA,NA,22678148
13,STRUTHIONIFORMES,Tinamidae,Tinamous,NA,NA,White-throated Tinamou,Tinamus guttatus,"Pelzeln, 1863",R,NT,NA,NA,NA,22678151
14,STRUTHIONIFORMES,Tinamidae,Tinamous,NA,NA,Berlepsch's Tinamou,Crypturellus berlepschi,"Rothschild, 1897",R,LC,NA,NA,NA,22678163
15,STRUTHIONIFORMES,Tinamidae,Tinamous,NA,NA,Cinereous Tinamou,Crypturellus cinereus,"(Gmelin, 1789)",R,LC,NA,NA,NA,22678166
16,STRUTHIONIFORMES,Tinamidae,Tinamous,NA,NA,Tepui Tinamou,Crypturellus ptaritepui,"Zimmer & Phelps, 1945",R,LC,NA,Tepuí Tinamou,NA,22678172
17,STRUTHIONIFORMES,Tinamidae,Tinamous,NA,NA,Little Tinamou,Crypturellus soui,"(Hermann, 1783)",R,LC,NA,NA,NA,22678169
18,STRUTHIONIFORMES,Tinamidae,Tinamous,NA,NA,Brown Tinamou,Crypturellus obsoletus,"(Temminck, 1815)",R,LC,NA,NA,NA,22678176
19,STRUTHIONIFORMES,Tinamidae,Tinamous,NA,NA,Undulated Tinamou,Crypturellus undulatus,"(Temminck, 1815)",R,LC,NA,NA,NA,22678182
20,STRUTHIONIFORMES,Tinamidae,Tinamous,NA,NA,Brazilian Tinamou,Crypturellus strigulosus,"(Temminck, 1815)",R,LC,NA,NA,NA,22678188
21,STRUTHIONIFORMES,Tinamidae,Tinamous,NA,NA,Grey-legged Tinamou,Crypturellus duidae,"Zimmer, 1938",R,LC,NA,Gray-legged Tinamou,NA,22678213
22,STRUTHIONIFORMES,Tinamidae,Tinamous,NA,NA,Red-legged Tinamou,Crypturellus erythropus,"(Pelzeln, 1863)",R,LC,NA,NA,NA,22729569
23,STRUTHIONIFORMES,Tinamidae,Tinamous,NA,NA,Yellow-legged Tinamou,Crypturellus noctivagus,"(Wied, 1820)",R,NT,NA,NA,NA,22678217
24,STRUTHIONIFORMES,Tinamidae,Tinamous,NA,NA,Black-capped Tinamou,Crypturellus atrocapillus,"(Tschudi, 1844)",R,LC,NA,NA,NA,22678220
25,STRUTHIONIFORMES,Tinamidae,Tinamous,NA,NA,Western Thicket Tinamou,Crypturellus occidentalis,"(Salvadori, 1985)",R,LC,NA,NA,"Crypturellus cinnamomeus and C. occidentalis (del Hoyo and Collar 2014) were previously lumped as C. cinnamomeus following Sibley and Monroe (1990, 1993).",61214775
26,STRUTHIONIFORMES,Tinamidae,Tinamous,NA,NA,Eastern Thicket Tinamou,Crypturellus cinnamomeus,"(Lesson, 1842)",R,LC,NA,NA,"Crypturellus cinnamomeus and C. occidentalis (del Hoyo and Collar 2014) were previously lumped as C. cinnamomeus following Sibley and Monroe (1990, 1993).",61214753
27,STRUTHIONIFORMES,Tinamidae,Tinamous,NA,NA,Pale-browed Tinamou,Crypturellus transfasciatus,"(Sclater & Salvin, 1878)",R,NT,NA,NA,NA,22678185
28,STRUTHIONIFORMES,Tinamidae,Tinamous,NA,NA,Slaty-breasted Tinamou,Crypturellus boucardi,"(Sclater, 1859)",R,LC,NA,NA,NA,22678191
29,STRUTHIONIFORMES,Tinamidae,Tinamous,NA,NA,Choco Tinamou,Crypturellus kerriae,"(Chapman, 1915)",R,VU,NA,Chocó Tinamou,NA,22678194
30,STRUTHIONIFORMES,Tinamidae,Tinamous,NA,NA,Variegated Tinamou,Crypturellus variegatus,"(Gmelin, 1789)",R,LC,NA,NA,NA,22678223
31,STRUTHIONIFORMES,Tinamidae,Tinamous,NA,NA,Rusty Tinamou,Crypturellus brevirostris,"(Pelzeln, 1863)",R,LC,NA,NA,NA,22678226
32,STRUTHIONIFORMES,Tinamidae,Tinamous,NA,NA,Bartlett's Tinamou,Crypturellus bartletti,"(Sclater & Salvin, 1873)",R,LC,NA,NA,NA,22678229
33,STRUTHIONIFORMES,Tinamidae,Tinamous,NA,NA,Barred Tinamou,Crypturellus casiquiare,"(Chapman, 1929)",R,LC,NA,NA,NA,22678235
34,STRUTHIONIFORMES,Tinamidae,Tinamous,NA,NA,Small-billed Tinamou,Crypturellus parvirostris,"(Wagler, 1827)",R,LC,NA,NA,NA,22678232
35,STRUTHIONIFORMES,Tinamidae,Tinamous,NA,NA,Tataupa Tinamou,Crypturellus tataupa,"(Temminck, 1815)",R,LC,NA,NA,NA,22678238
36,STRUTHIONIFORMES,Tinamidae,Tinamous,NA,NA,Red-winged Tinamou,Rhynchotus rufescens,"(Temminck, 1815)",R,LC,NA,NA,NA,22733941
37,STRUTHIONIFORMES,Tinamidae,Tinamous,NA,NA,Huayco Tinamou,Rhynchotus maculicollis,"G.R. Gray, 1867",R,LC,NA,NA,NA,22733250
38,STRUTHIONIFORMES,Tinamidae,Tinamous,NA,NA,Taczanowski's Tinamou,Nothoprocta taczanowskii,"Sclater & Salvin, 1875",R,VU,NA,NA,NA,22678246
39,STRUTHIONIFORMES,Tinamidae,Tinamous,NA,NA,Ornate Tinamou,Nothoprocta ornata,"(Gray, 1867)",R,LC,NA,NA,NA,22678254
40,STRUTHIONIFORMES,Tinamidae,Tinamous,NA,NA,Chilean Tinamou,Nothoprocta perdicaria,"(Kittlitz, 1830)",R,LC,NA,NA,NA,22678265
41,STRUTHIONIFORMES,Tinamidae,Tinamous,NA,NA,Brushland Tinamou,Nothoprocta cinerascens,"(Burmeister, 1860)",R,LC,NA,NA,NA,22678262
42,STRUTHIONIFORMES,Tinamidae,Tinamous,NA,NA,Andean Tinamou,Nothoprocta pentlandii,"(Gray, 1867)",R,LC,NA,NA,NA,22678259
43,STRUTHIONIFORMES,Tinamidae,Tinamous,NA,NA,Curve-billed Tinamou,Nothoprocta curvirostris,"Sclater & Salvin, 1873",R,LC,NA,NA,NA,22678268
44,STRUTHIONIFORMES,Tinamidae,Tinamous,NA,NA,White-bellied Nothura,Nothura boraquira,"(Spix, 1825)",R,LC,NA,NA,NA,22678283
45,STRUTHIONIFORMES,Tinamidae,Tinamous,NA,NA,Lesser Nothura,Nothura minor,"(Spix, 1825)",R,VU,NA,NA,NA,22678280
46,STRUTHIONIFORMES,Tinamidae,Tinamous,NA,NA,Darwin's Nothura,Nothura darwinii,"Gray, 1867",R,LC,NA,NA,NA,22678271
47,STRUTHIONIFORMES,Tinamidae,Tinamous,NA,NA,Spotted Nothura,Nothura maculosa,"(Temminck, 1815)",R,LC,NA,NA,Nothura chacoensis has been lumped into Nothura maculosa after Hayes et al. (2018) determined that there is no support for the former as an independent species.,154589710
48,STRUTHIONIFORMES,Tinamidae,Tinamous,NA,NA,Dwarf Tinamou,Taoniscus nanus,"(Temminck, 1815)",R,EN,NA,NA,NA,22678286
49,STRUTHIONIFORMES,Tinamidae,Tinamous,NA,NA,Elegant Crested Tinamou,Eudromia elegans,"Geoffroy Saint-Hilaire, 1832",R,LC,NA,Elegant Crested-Tinamou,NA,22678289
50,STRUTHIONIFORMES,Tinamidae,Tinamous,NA,NA,Quebracho Crested Tinamou,Eudromia formosa,"(Lillo, 1905)",R,LC,NA,Quebracho Crested-Tinamou,NA,22678294
51,STRUTHIONIFORMES,Tinamidae,Tinamous,NA,NA,Puna Tinamou,Tinamotis pentlandii,"Vigors, 1837",R,LC,NA,NA,NA,22678299
52,STRUTHIONIFORMES,Tinamidae,Tinamous,NA,NA,Patagonian Tinamou,Tinamotis ingoufi,"Oustalet, 1890",R,LC,NA,NA,NA,22678302
53,STRUTHIONIFORMES,Casuariidae,"Cassowaries, emus",NA,NA,Southern Cassowary,Casuarius casuarius,"(Linnaeus, 1758)",R,LC,NA,NA,NA,22678108
54,STRUTHIONIFORMES,Casuariidae,"Cassowaries, emus",NA,NA,Dwarf Cassowary,Casuarius bennetti,"Gould, 1857",R,LC,NA,NA,NA,22678111
55,STRUTHIONIFORMES,Casuariidae,"Cassowaries, emus",NA,NA,Northern Cassowary,Casuarius unappendiculatus,"Blyth, 1860",R,LC,NA,NA,NA,22678114
56,STRUTHIONIFORMES,Casuariidae,"Cassowaries, emus",NA,NA,Common Emu,Dromaius novaehollandiae,"(Latham, 1790)",R,LC,NA,NA,NA,22678117
57,STRUTHIONIFORMES,Casuariidae,"Cassowaries, emus",NA,NA,King Island Emu,Dromaius minor,"Spencer, 1906",R,EX,Dromaius ater,NA,Dromaius minor (del Hoyo and Collar 2014) was previously listed as D. ater following Christidis and Boles (1994); the name minor has priority.,22728643
58,STRUTHIONIFORMES,Casuariidae,"Cassowaries, emus",NA,NA,Kangaroo Island Emu,Dromaius baudinianus,"S. A. Parker, 1984",R,EX,NA,NA,NA,22724449
59,STRUTHIONIFORMES,Apterygidae,Kiwis,NA,NA,Great Spotted Kiwi,Apteryx haastii,"Potts, 1872",R,VU,NA,"Roroa, Roa",NA,22678132
60,STRUTHIONIFORMES,Apterygidae,Kiwis,NA,NA,Little Spotted Kiwi,Apteryx owenii,"Gould, 1847",R,NT,NA,Kiwi pukupuku,NA,22678129
61,STRUTHIONIFORMES,Apterygidae,Kiwis,NA,NA,Northern Brown Kiwi,Apteryx mantelli,"Bartlett, 1851",R,VU,NA,Brown kiwi,"Apteryx australis, A. mantelli and A. rowi (del Hoyo and Collar 2014) were previously treated as A. australis and A. mantelli (incorporating rowi) following Baker et al. (1995); prior to that all three taxa were lumped as A. australis following Sibley an",45353580
62,STRUTHIONIFORMES,Apterygidae,Kiwis,NA,NA,Southern Brown Kiwi,Apteryx australis,"Shaw, 1813",R,VU,NA,Tokoeka,"Apteryx australis, A. mantelli and A. rowi (del Hoyo and Collar 2014) were previously treated as A. australis and A. mantelli (incorporating rowi) following Baker et al. (1995); prior to that all three taxa were lumped as A. australis following Sibley an",22678122
63,STRUTHIONIFORMES,Apterygidae,Kiwis,NA,NA,Okarito Kiwi,Apteryx rowi,"Tennyson, Palma, Robertson, Worthy & Gill, 2003",R,VU,NA,"Okarito Brown Kiwi, Rowi","Apteryx australis, A. mantelli and A. rowi (del Hoyo and Collar 2014) were previously treated as A. australis and A. mantelli (incorporating rowi) following Baker et al. (1995); prior to that all three taxa were lumped as A. australis following Sibley an",22732871
64,GALLIFORMES,Megapodiidae,Megapodes,NA,NA,Australian Brush-turkey,Alectura lathami,"Gray, 1831",R,LC,NA,Australian Brushturkey,NA,22678551
65,GALLIFORMES,Megapodiidae,Megapodes,NA,NA,Wattled Brush-turkey,Aepypodius arfakianus,"(Salvadori, 1877)",R,LC,NA,Wattled Brushturkey,NA,22678555
66,GALLIFORMES,Megapodiidae,Megapodes,NA,NA,Waigeo Brush-turkey,Aepypodius bruijnii,"(Oustalet, 1880)",R,EN,NA,Waigeo Brushturkey,NA,22678559
67,GALLIFORMES,Megapodiidae,Megapodes,NA,NA,Red-billed Brush-turkey,Talegalla cuvieri,"Lesson, 1828",R,LC,NA,Red-billed Brushturkey,NA,22678564
68,GALLIFORMES,Megapodiidae,Megapodes,NA,NA,Black-billed Brush-turkey,Talegalla fuscirostris,"Salvadori, 1877",R,LC,NA,Black-billed Brushturkey,NA,22678568
69,GALLIFORMES,Megapodiidae,Megapodes,NA,NA,Collared Brush-turkey,Talegalla jobiensis,"Meyer, 1874",R,LC,NA,Collared Brushturkey,NA,22678572
70,GALLIFORMES,Megapodiidae,Megapodes,NA,NA,Malleefowl,Leipoa ocellata,"Gould, 1840",R,VU,NA,NA,NA,22678646
71,GALLIFORMES,Megapodiidae,Megapodes,NA,NA,Maleo,Macrocephalon maleo,"Müller, 1846",R,EN,NA,"Maleo Megapode, Megapodio Maleo, Talégalo Maleo, Gray's Brush-turkey",NA,22678576
72,GALLIFORMES,Megapodiidae,Megapodes,NA,NA,Moluccan Scrubfowl,Eulipoa wallacei,"(Gray, 1860)",R,VU,NA,Talégalo de Wallace,NA,22678632
73,GALLIFORMES,Megapodiidae,Megapodes,NA,NA,Nicobar Scrubfowl,Megapodius nicobariensis,"Blyth, 1846",R,VU,NA,Megapodio Selvatico,NA,22678583
74,GALLIFORMES,Megapodiidae,Megapodes,NA,NA,Philippine Scrubfowl,Megapodius cumingii,"Dillwyn, 1853",R,LC,NA,"Philippine Megapode, Tabon Scrubfowl",NA,22678588
75,GALLIFORMES,Megapodiidae,Megapodes,NA,NA,Sula Scrubfowl,Megapodius bernsteinii,"Schlegel, 1866",R,VU,NA,NA,NA,22678593
76,GALLIFORMES,Megapodiidae,Megapodes,NA,NA,Tanimbar Scrubfowl,Megapodius tenimberensis,"P.L. Sclater, 1883",R,VU,NA,NA,NA,22732420
77,GALLIFORMES,Megapodiidae,Megapodes,NA,NA,Vanuatu Scrubfowl,Megapodius layardi,"Tristram, 1879",R,VU,NA,New Hebrides Scrubfowl,NA,22678615
78,GALLIFORMES,Megapodiidae,Megapodes,NA,NA,Micronesian Scrubfowl,Megapodius laperouse,"Gaimard, 1823",R,EN,NA,Marianas Scrubfowl,NA,22678620
79,GALLIFORMES,Megapodiidae,Megapodes,NA,NA,Tongan Scrubfowl,Megapodius pritchardii,"Gray, 1864",R,VU,NA,"Niaufoou Scrubfowl, Tongan Megapode, Polynesian Scrubfowl, Nevafou Megapode",NA,22678625
80,GALLIFORMES,Megapodiidae,Megapodes,NA,NA,Dusky Scrubfowl,Megapodius freycinet,"Gaimard, 1823",R,LC,NA,NA,NA,22678602
81,GALLIFORMES,Megapodiidae,Megapodes,NA,NA,Biak Scrubfowl,Megapodius geelvinkianus,"Meyer, 1874",R,VU,NA,NA,NA,22728514
82,GALLIFORMES,Megapodiidae,Megapodes,NA,NA,New Guinea Scrubfowl,Megapodius decollatus,"Oustalet, 1878",R,LC,NA,NA,Megapodius decollatus (del Hoyo and Collar 2014) was previously listed as M. affinis; the name decollatus has priority.,22678607
83,GALLIFORMES,Megapodiidae,Megapodes,NA,NA,Melanesian Scrubfowl,Megapodius eremita,"Hartlaub, 1867",R,LC,NA,NA,NA,22678611
84,GALLIFORMES,Megapodiidae,Megapodes,NA,NA,Orange-footed Scrubfowl,Megapodius reinwardt,"Dumont, 1823",R,LC,NA,Scrubfowl,NA,22734302
85,GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",Penelopinae,NA,Black Guan,Chamaepetes unicolor,"Salvin, 1867",R,LC,NA,NA,NA,22678443
86,GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",Penelopinae,NA,Sickle-winged Guan,Chamaepetes goudotii,"(Lesson, 1828)",R,LC,NA,NA,NA,22678446
87,GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",Penelopinae,NA,Highland Guan,Penelopina nigra,"(Fraser, 1852)",R,VU,NA,Pava Pajuil,NA,22678449
88,GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",Penelopinae,NA,Band-tailed Guan,Penelope argyrotis,"(Bonaparte, 1856)",R,LC,NA,NA,NA,22678354
89,GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",Penelopinae,NA,Bearded Guan,Penelope barbata,"Chapman, 1921",R,NT,NA,NA,NA,22678357
90,GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",Penelopinae,NA,Baudo Guan,Penelope ortoni,"Salvin, 1874",R,EN,NA,Baudó Guan,NA,22678360
91,GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",Penelopinae,NA,Andean Guan,Penelope montagnii,"(Bonaparte, 1856)",R,LC,NA,NA,NA,22678364
92,GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",Penelopinae,NA,Marail Guan,Penelope marail,"(Müller, 1776)",R,LC,NA,NA,NA,22678367
93,GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",Penelopinae,NA,Rusty-margined Guan,Penelope superciliaris,"Temminck, 1815",R,LC,NA,NA,NA,22678370
94,GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",Penelopinae,NA,Red-faced Guan,Penelope dabbenei,"Hellmayr & Conover, 1942",R,LC,NA,NA,NA,22678373
95,GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",Penelopinae,NA,Spix's Guan,Penelope jacquacu,"Spix, 1825",R,LC,NA,NA,NA,22678386
96,GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",Penelopinae,NA,Crested Guan,Penelope purpurascens,"Wagler, 1830",R,LC,NA,NA,NA,22678376
97,GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",Penelopinae,NA,Cauca Guan,Penelope perspicax,"Bangs, 1911",R,EN,NA,NA,NA,22678379
98,GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",Penelopinae,NA,White-winged Guan,Penelope albipennis,"Taczanowski, 1878",R,EN,NA,Pava Aliblanca,NA,22678382
99,GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",Penelopinae,NA,Dusky-legged Guan,Penelope obscura,"Temminck, 1815",R,LC,NA,NA,NA,22678389
100,GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",Penelopinae,NA,White-crested Guan,Penelope pileata,"Wagler, 1830",R,VU,NA,NA,NA,22678392
101,GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",Penelopinae,NA,Chestnut-bellied Guan,Penelope ochrogaster,"Pelzeln, 1870",R,VU,NA,NA,NA,22678395
102,GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",Penelopinae,NA,White-browed Guan,Penelope jacucaca,"Spix, 1825",R,VU,NA,NA,NA,22678398
103,GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",Penelopinae,NA,Trinidad Piping-guan,Pipile pipile,"(Jacquin, 1784)",R,CR,NA,"Common Piping Guan, Trinidad Piping-Guan, Trinidad White-headed Piping Guan, Trinidad White-headed Curassow, Pava Rajadora, Pava de Trinidad, Yacutinga Cariazul",NA,22678401
104,GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",Penelopinae,NA,Blue-throated Piping-guan,Pipile cumanensis,"(Jacquin, 1784)",R,LC,NA,Blue-throated Piping-Guan,"Pipile cumanensis and P. grayi (del Hoyo and Collar 2014) were previously lumped as P. cumanensis following Sibley and Monroe (1990, 1993).",22727323
105,GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",Penelopinae,NA,White-throated Piping-guan,Pipile grayi,"(Pelzeln, 1870)",R,NT,NA,NA,"Pipile cumanensis and P. grayi (del Hoyo and Collar 2014) were previously lumped as P. cumanensis following Sibley and Monroe (1990, 1993).",22727333
106,GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",Penelopinae,NA,Red-throated Piping-guan,Pipile cujubi,"(Pelzeln, 1858)",R,LC,Aburria cujubi,Red-throated Piping-Guan,NA,22678422
107,GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",Penelopinae,NA,Black-fronted Piping-guan,Pipile jacutinga,"(Spix, 1825)",R,EN,Penelope jacutinga,"Black-fronted Piping-Guan, Black-fronted Piping Guan, Black Fronted Curassow, Pava Yacutinga, Yacutingá Frentinegra",NA,22678429
108,GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",Penelopinae,NA,Wattled Guan,Aburria aburri,"(Lesson, 1828)",R,NT,NA,NA,NA,22678440
109,GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",Oreophaseinae,NA,Horned Guan,Oreophasis derbianus,"Gray, 1844",R,EN,NA,"Pavón Cornudo, Pavón, Pava Pajuil, Paují Cornudo, Guan Cornudo",NA,22678453
110,GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",Ortalisinae,NA,Plain Chachalaca,Ortalis vetula,"(Wagler, 1830)",R,LC,NA,NA,NA,22678305
111,GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",Ortalisinae,NA,Grey-headed Chachalaca,Ortalis cinereiceps,"Gray, 1867",R,LC,NA,Gray-headed Chachalaca,NA,22678308
112,GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",Ortalisinae,NA,Chestnut-winged Chachalaca,Ortalis garrula,"(Humboldt, 1805)",R,LC,NA,NA,NA,22678312
113,GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",Ortalisinae,NA,Rufous-vented Chachalaca,Ortalis ruficauda,"Jardine, 1847",R,LC,NA,NA,NA,22678315
114,GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",Ortalisinae,NA,Rufous-headed Chachalaca,Ortalis erythroptera,"Sclater & Salvin, 1870",R,VU,NA,Rufous Headed Chachalaca,NA,22678318
115,GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",Ortalisinae,NA,Rufous-bellied Chachalaca,Ortalis wagleri,"Gray, 1867",R,LC,NA,NA,NA,22678322
116,GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",Ortalisinae,NA,West Mexican Chachalaca,Ortalis poliocephala,"(Wagler, 1830)",R,LC,NA,NA,NA,22678325
117,GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",Ortalisinae,NA,Chaco Chachalaca,Ortalis canicollis,"(Wagler, 1830)",R,LC,NA,NA,NA,22678328
118,GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",Ortalisinae,NA,White-bellied Chachalaca,Ortalis leucogastra,"(Gould, 1843)",R,LC,NA,NA,NA,22678331
119,GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",Ortalisinae,NA,Colombian Chachalaca,Ortalis columbiana,"Hellmayr, 1906",R,LC,NA,NA,"Ortalis guttata, O. araucuan and O. squamata (del Hoyo and Collar 2014) were previously lumped as O. guttata following Stotz et al. (1996) and SACC (2011), and before then were also lumped with O. colombiana as O. guttata following Sibley and Monroe (199",22728519
120,GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",Ortalisinae,NA,Speckled Chachalaca,Ortalis guttata,"(Spix, 1825)",R,LC,NA,NA,"Ortalis guttata, O. araucuan and O. squamata (del Hoyo and Collar 2014) were previously lumped as O. guttata following Stotz et al. (1996) and SACC (2011), and before then were also lumped with O. colombiana as O. guttata following Sibley and Monroe (199",155238855
121,GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",Ortalisinae,NA,East Brazilian Chachalaca,Ortalis araucuan,"(Spix, 1825)",R,LC,NA,Brazilian Chachalaca,"Ortalis guttata, O. araucuan and O. squamata (del Hoyo and Collar 2014) were previously lumped as O. guttata following Stotz et al. (1996) and SACC (2011), and before then were also lumped with O. colombiana as O. guttata following Sibley and Monroe (199",22731569
122,GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",Ortalisinae,NA,Scaled Chachalaca,Ortalis squamata,"Lesson, 1829",R,LC,NA,NA,"Ortalis guttata, O. araucuan and O. squamata (del Hoyo and Collar 2014) were previously lumped as O. guttata following Stotz et al. (1996) and SACC (2011), and before then were also lumped with O. colombiana as O. guttata following Sibley and Monroe (199",155246763
123,GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",Ortalisinae,NA,Little Chachalaca,Ortalis motmot,"(Linnaeus, 1766)",R,LC,NA,Variable Chachalaca,NA,22678342
124,GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",Ortalisinae,NA,Buff-browed Chachalaca,Ortalis superciliaris,"Gray, 1867",R,LC,NA,Chachacalaca Cejuda,NA,22678348
125,GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",Cracinae,NA,Nocturnal Curassow,Nothocrax urumutum,"(Spix, 1825)",R,LC,NA,NA,NA,22678461
126,GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",Cracinae,NA,Great Curassow,Crax rubra,"Linnaeus, 1758",R,VU,NA,Pavón Norteño,NA,22678521
127,GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",Cracinae,NA,Blue-billed Curassow,Crax alberti,"Fraser, 1852",R,CR,NA,"Pavón Piquiazul, Blue-knobbed Curassow",NA,22678525
128,GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",Cracinae,NA,Yellow-knobbed Curassow,Crax daubentoni,"Gray, 1867",R,NT,NA,Pavón Porú,NA,22678530
129,GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",Cracinae,NA,Black Curassow,Crax alector,"Linnaeus, 1766",R,VU,NA,NA,NA,22678534
130,GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",Cracinae,NA,Bare-faced Curassow,Crax fasciolata,"Spix, 1825",R,VU,NA,NA,"Crax fasciolata and C. pinima (del Hoyo and Collar 2014) were previously lumped as C. fasciolata following Sibley and Monroe (1990, 1993).",45092100
131,GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",Cracinae,NA,Belem Curassow,Crax pinima,"Pelzeln, 1870",R,CR,NA,NA,"Crax fasciolata and C. pinna (del Hoyo and Collar 2014) were previously lumped as Crax fasciolata following Sibley and Monroe (1990, 1993).",45092131
132,GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",Cracinae,NA,Wattled Curassow,Crax globulosa,"Spix, 1825",R,EN,NA,Pavón Carunculado,NA,22678537
133,GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",Cracinae,NA,Red-billed Curassow,Crax blumenbachii,"Spix, 1825",R,EN,NA,"Red-knobbed Curassow, Mutum, Muitú Mamaco, Pavón Piquirrojo",NA,22678544
134,GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",Cracinae,NA,Crestless Curassow,Mitu tomentosum,"(Spix, 1825)",R,NT,Mitu tomentosa; Crax tomentosa,NA,NA,22678464
