name,pubCode,description,startDate,endDate
"div.identificationQualifier","cf. species","Roughly equals but 'not sure' about the species",2012-01-01T00:00:00Z,
"div.identificationQualifier","aff. species","Similar to, but is not the species",2012-01-01T00:00:00Z,
"div.identificationQualifier","cf. genus","Roughly equals but 'not sure' about the genus",2012-01-01T00:00:00Z,
"div.identificationQualifier","aff. genus","Similar to, but is not the genus",2012-01-01T00:00:00Z,
"div.identificationQualifier","cf. subspecies","Roughly equals but 'not sure' about the subspecies",2012-01-01T00:00:00Z,
"div.identificationQualifier","aff. subspecies","Similar to, but is not the subspecies",2012-01-01T00:00:00Z,
"div.identificationQualifier","cf. family","Roughly equals but 'not sure' about the family",2012-01-01T00:00:00Z,
"div.identificationQualifier","aff. family","Similar to, but is not the family",2012-01-01T00:00:00Z,
"div.identificationQualifier","cf. variety","Roughly equals but 'not sure' about the variety",2012-01-01T00:00:00Z,
"div.identificationQualifier","aff. variety","Similar to, but is not the variety",2012-01-01T00:00:00Z,
"Identification Qualifiers","cf. species","roughly equals but 'not sure' about the species",2012-01-01T00:00:00Z,
"Identification Qualifiers","aff. species","similar to but is not the species",2012-01-01T00:00:00Z,
"Identification Qualifiers","cf. genus","roughly equals but 'not sure' about the genus",2012-01-01T00:00:00Z,
"Identification Qualifiers","aff. genus","similar to but is not the genus",2012-01-01T00:00:00Z,
"Identification Qualifiers","cf. subspecies","roughly equals but 'not sure' about the subspecies",2012-01-01T00:00:00Z,
"Identification Qualifiers","aff. subspecies","similar to but is not the subspecies",2012-01-01T00:00:00Z,
"Identification Qualifiers","cf. family","roughly equals but 'not sure' about the family",2012-01-01T00:00:00Z,
"Identification Qualifiers","aff. family","similar to but is not the family",2012-01-01T00:00:00Z,
"Identification Qualifiers","cf. variety","roughly equals but 'not sure' about the variety",2012-01-01T00:00:00Z,
"Identification Qualifiers","aff. variety","similar to but is not the variety",2012-01-01T00:00:00Z,
"mam.bloodSampleMethod","mandibular - QNS","Blood collected from the submandibular vein; quantity not sufficient (QNS) for pathogen analysis",2012-01-01T00:00:00Z,
"mam.bloodSampleMethod","mandibular","mandibular",2012-01-01T00:00:00Z,
"mam.bloodSampleMethod","retroorbital","retroorbital",2012-01-01T00:00:00Z,
"mam.bloodSampleMethod","unsuccessful","unsuccessful",2012-01-01T00:00:00Z,
"mam.fate","dead","dead",2012-01-01T00:00:00Z,
"mam.fate","escaped","escaped",2012-01-01T00:00:00Z,
"mam.fate","processed","processed",2012-01-01T00:00:00Z,
"mam.fate","nontarget","nontarget",2012-01-01T00:00:00Z,
"mam.fate","released","released",2012-01-01T00:00:00Z,
"mam.hairSampleContents","hairOnly","Sample includes only hairs collected from back of neck",2012-01-01T00:00:00Z,
"mam.hairSampleContents","whiskerOnly","Sample includes only whiskers",2012-01-01T00:00:00Z,
"mam.hairSampleContents","hairAndWhisker","Sample includes both whiskers and hairs collected from back of neck",2012-01-01T00:00:00Z,
"mam.identificationReferences","D02 - Whitaker 2005","Whitaker, J. O. 2005. National Audubon Society Field Guide to North American Mammals. Alfred A. Knopf, New York, NY.",2012-01-01T00:00:00Z,
